bidNtceNo,bidNtceOrd,bidClsfcNo,rbidNo,bidNtceNm,plnprc,bssamt,totRsrvtnPrceNum,compnoRsrvtnPrceSno,bsisPlnprc,drwtYn,drwtNum,bidwinrSlctnAplBssCntnts,rlOpengDt,bssamtBssUpNum,compnoRsrvtnPrceMkngDt,inptDt,PrearngPrcePurcnstcst
20220128242,000,0,000,2022년 하수도 연간단가 긴급수선공사(서부지역),302433750,309282000,15,15,318297600,N,23,행자부,2022-02-04 12:18:24,7,2022-01-27 13:26:39,2022-02-04 12:18:24,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,1,314338800,N,33,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,2,304414000,Y,41,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,3,303306700,Y,34,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,4,310562500,Y,34,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,5,316803800,N,21,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,6,306214000,N,22,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,7,301175800,N,31,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,8,307209900,N,31,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,9,311338800,N,19,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,10,300207700,N,30,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,11,304744900,N,29,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,12,308706800,N,29,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,13,315730600,N,24,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,14,312492400,N,32,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220128154,000,0,000,2022년 하수도 연간단가 긴급수선공사(동부지역),308979750,309282000,15,15,317635800,Y,38,행자부,2022-02-04 12:15:31,7,2022-01-27 13:10:29,2022-02-04 12:15:31,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,1,186477900,N,19,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,2,188396800,N,18,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,3,194134300,N,15,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,4,189356200,N,24,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,5,186232800,N,22,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,6,190256700,N,24,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,7,192699900,N,24,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,8,193693600,N,16,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,9,190976800,Y,29,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,10,195222900,N,24,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,11,189004700,Y,30,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
20220201169,000,0,000,2022년 하수처리구역 외 하수도 수선공사(연간단가),187942250,189985000,15,12,184542000,Y,28,행자부,2022-02-09 11:08:46,7,2022-02-03 14:35:04,2022-02-09 11:08:46,
